id,title,value
id,Тип полок,Выдвижные, Мини-полка
id,Материал полок,Дерево (массив бука)
id,Автоматическая разморозка,Да
id,Зимний режим,Да
id,Демонстрационное освещение,Да
id,Блокировка панели управления,Да
id,Режим Шаббат,-
id,Режим Эко Демо,Да
id,Память настроек,Да
id,Резервуар для воды,Нет
id,Термостат,Электронный
id,Диапазон влажности,,60-80%
id,Углублённый цоколь,Да
id,Регулируемые ножки,Да
id,Уровень шума,40
id,Энергопотребление,140
id,Класс энергоэффективности,A
id,Климатический класс,N-ST
id,Хладагент,R600A (22 гр.)
id,Объем,85
id,Высота,820
id,Ширина,380
id,Глубина,578
id,Размер двери (В×Ш),730 × 380
id,Минимальный размер ниши (В × Ш × Г),830 × 390 × 585
id,Размер упаковки (В × Ш × Г),870 × 435 × 655
id,Вес без упаковки,34, 4
id,Вес с упаковкой,37, 4
id,Вместимость (бутылок),9
id,Тип о×лаждения,Компрессорный
id,Материал корпуса,Сталь
id,Цвет корпуса,Чёрный
id,Тип установки,Встраиваемый Отдельностоящий
id,Тип встраивания,Под столешницу
id,Встроенная система вентиляции,Да
id,Кол-во температурны× зон,1
id,Диапазон температур,От +5 до +20°C
id,Количество дверей,1
id,Рамка двери,Стальная
id,Навесной фасад,Нет
id,Перенавешиваемая дверь,Да (side by side)
id,Автодоводчик двери,Нет
id,Стекло,Тройное с УФ-фильтром
id,Ручка двери,Стальная
id,Замок двери,Нет
id,Панорамное освещение,Нет
id,Угольный фильтр,Нет
id,Сигнализация открытой двери,Нет
id,Сигнализация отклонения температуры,Да
id,Вид о×лаждения,Динамический
id,Тип управления,Сенсорный
id,Количество полок,6
id,Тип полок,Держатели
id,Материал полок,Дерево (массив бука)
id,Автоматическая разморозка,Да
id,Зимний режим,Нет
id,Демонстрационное освещение,Да
id,Блокировка панели управления,Да
id,Режим Шаббат,Нет
id,Режим Эко Демо,Да
id,Память настроек,Да
id,Резервуар для воды,Нет
id,Термостат,Электронный
id,Диапазон влажности,,60-80%
